Relatos,Relatos_Traduzidos,Relatos_tokenizados,Relatos_Traduzidos_Lematizados,Relatos_com_SentiStrength
"Espero que eu consiga compreender o conteúdo sem muita dificuldade, e apresentar bom desempenho em relação as aulas e as avaliações, também espero que os professores possam auxiliar nas dúvidas relacionadas as disciplinas disponibilizando matérias como apostilas, vídeo aulas gravadas etc ","I hope I can understand the content without much difficulty, and present good performance in relation to classes and evaluations, I also hope that teachers can assist in doubts related to disciplines making matters such as handouts, video classes recorded etc.",i hope i understand content without much difficulty present good performance relation classes evaluations i also hope teachers assist doubts related disciplines making matters handouts video classes recorded etc ,i hope i understand content without much difficulty present good performance relation classes evaluations i also hope teachers assist doubts related disciplines making matters handouts video classes recorded etc ,1
"Pela a experiência com o ensino remoto, acredito que a maior dificuldade são as aulas práticas, pois fica complicado apenas ter a teórica sem praticar.","By the experience with remote education, I believe that the greatest difficulty are practical classes, because it is complicated only to have theoretical without practicing.",by experience remote education i believe greatest difficulty practical classes complicated theoretical without practicing ,by experience remote education i believe greatest difficulty practical classes complicated theoretical without practicing ,1
"Proucuro aprender o máximo na medida do possivel com a EAD, mas, tenho certeza que as aulas presenciais são de suma importância para o meu curso, por isso, espero que voltem o mais rápido possivel (com toda segurança).","Proucuro learn the maximum as possible with the EAD, but, I am sure that the face-to-face classes are of paramount importance to my course, so I hope they return as soon as possible (with all security).",proucuro learn maximum possible ead i sure classes paramount importance course i hope return soon possible security ,proucuro learn maximum possible ead i sure classes paramount importance course i hope return soon possible security ,2
"Não sou muito a favor Não ensino remoto, pois não aprendemos o suficiente ","I am not much in favor of remote education, because we have not learned enough",i much favor remote education learned enough ,i much favor remote education learned enough ,1
"A expectativa para o ensino remoto é que, mesmo de longe, o ensino seja de mesma qualidade e que tenhamos o mesmo apoio dos professores como seria se estivessemos podendo ter contato pessoalmente. Além do prazer de estudar nesse campus tão maravilhoso, tanto em estrutura como em corpo docente, administratio etc. ","Expectation for remote education is that even from afar, teaching is of the same quality and that we have the same support as teachers as it would be if we can have contact personally.Besides the pleasure of studying on this wonderful campus, both in structure and in faculty, administratio etc.",expectation remote education even afar teaching quality support teachers would contact pleasure studying wonderful campus structure faculty administratio etc ,expectation remote education even afar teaching quality support teachers would contact pleasure studying wonderful campus structure faculty administratio etc ,2
Minha expectativa é que as aulas sejam ricas e esclarecedoras para que não sejamos prejudicados com a pratica de ensino remoto.,My expectation is that classes are rich and enlightening that we are not harmed with the practition of remote.,my expectation classes rich enlightening harmed practition remote ,my expectation classes rich enlightening harmed practition remote ,-2
Que consiga repassar bem os conteúdos e a experiência de aula,That can pass well the contents and class experience well,that pass well contents class experience well ,that pass well contents class experience well ,0
"As expectativas é que o ensino remoto possua o máximo de aproveitamento, que sejam utilizados métodos eficazes, que facilitem a interação e o desenvolvimento. ","Expectations is that remote teaching has maximum use, which are used effective methods, which facilitate interaction and development.",expectations remote teaching maximum use used effective methods facilitate interaction development ,expectations remote teaching maximum use used effective methods facilitate interaction development ,0
"Espero conseguir aprender mais do que o ano passado, as aulas remotas são realmente problemáticas","I hope to learn more than last year, remote lessons are really problematic",i hope learn last year remote lessons really problematic ,i hope learn last year remote lessons really problematic ,0
"As atividades remotas, são justificáveis em meio a pandemia, mas o conhecimento adquirido nem se compara a forma presencial, se tornando um pouco ""ineficaz"" em minha opinião, mas uma das únicas alternativas, visando não atrasarmos nosso período letivo","Remote activities are justifiable amid the pandemic, but knowledge acquired or compare the face-to-face form, becoming a little ""ineffective"" in my opinion, but one of the only alternatives, aiming not to delay our school period",remote activities justifiable amid pandemic knowledge acquired compare form becoming little ineffective opinion one alternatives aiming delay school period ,remote activities justifiable amid pandemic knowledge acquired compare form becoming little ineffective opinion one alternatives aiming delay school period ,-1
"me sinto prejudicado pelo fato de minha internet ser de baixa qualidade, além de não possuir um aparelho de computador que facilitaria bastante o meu estudo, de forma que teria mais facilidade nas aulas e atividades remotas.","I feel harmed by the fact that my internet is low quality, besides not having a computer device that would greatly facilitate my study, so it would have more easily in the classes and remote activities.",i feel harmed fact internet low quality besides computer device would greatly facilitate study would easily classes remote activities ,i feel harmed fact internet low quality besides computer device would greatly facilitate study would easily classes remote activities ,-1
É bom mas ao mesmo tempo é desconfortável pois não é a mesma coisa de presencial,It's good but at the same time it's uncomfortable because it's not the same face-to-face,it good time uncomfortable ,it good time uncomfortable ,-1
Acredito que na situação em que estamos passando no momento o instituto está desenvolvendo bem sua atividade não presencial. Só acredito que alguns professores poderiam ser ensinados de como melhor usar a ferramenta de aula síncrona e também seguir de forma mais fiel o horário acadêmico dos momentos síncronos.,I believe that in the situation in which we are now passing the Institute is developing well its non-face-to-face activity.I only believe that some teachers could be taught how best to use the synchronous class tool and also follow the academic time of synchronous moments more faithfully.,i believe situation passing institute developing well believe teachers could taught best use synchronous class tool also follow academic time synchronous moments faithfully ,i believe situation passing institute developing well believe teachers could taught best use synchronous class tool also follow academic time synchronous moments faithfully ,1
Espero que todos nós nos adaptemos à esse tipo de ensino e que possamos desfrutar das disciplinas tanto quanto iríamos com o ensino presencial.,I hope we all adapt to this type of teaching and that we can enjoy the disciplines as much as we would go with face-to-face teaching.,i hope adapt type teaching enjoy disciplines much would go teaching ,i hope adapt type teaching enjoy disciplines much would go teaching ,2
"Eu espero aprender e ser aprovada com excelência no curso, pois isso me abrirá muitas portas para meu futuro. Em relação as aulas on-line eu as acho pouco proveitosas levando em consideração que a maioria dos alunos vieram de escolas públicas e não tiveram uma base muito boa para algumas disciplinas.","I hope to learn and be approved with excellence in the course, for this will open me many doors for my future.In relation to online classes I find them poorly leading into consideration that most students came from public schools and did not have a very good base for some disciplines.",i hope learn approved excellence course open many doors relation online classes i find poorly leading consideration students came public schools good base disciplines ,i hope learn approved excellence course open many doors relation online classes i find poorly leading consideration students came public schools good base disciplines ,2
"Minha expectativa é de que eu possa aprender mais, e passar a ter mais conhecimento sobre assuntos que já vi, e de assuntos que irei ver, sendo assim, tornar um pouco o aprendizado parecido com o presencial. ","My expectation is that I can learn more, and to have more knowledge about subjects I have ever seen, and of matters that I will see, thus make learning a little like the face-to-face.",my expectation i learn knowledge subjects i ever seen matters i see thus make learning little like ,my expectation i learn knowledge subjects i ever seen matters i see thus make learning little like ,1
"Durante o tempo de pandemia, ficou uma pouco complicado em quanto ao ensino remoto, atividades de ensino não presenciais, mas a cada dia nós em quanto alunos e também aos professores, aprendemos um pouco mais de como utilizar os novos meios de estudar virtualmente, como o classrom, meet e tantos outros meios de comunicação. Em quanto as minhas expectativas, espero continuar aprendendo todos dias os novos assuntos, que os professores vem nos enviando, e também ao longo do ano.","During the time of pandemic, it was a bit complicated as for remote education, non-face-to-face teaching activities, but every day we at how much students and teachers, learned a little more about how to use the new means of studying virtually, asClassrom, Meet and so many other media.As for my expectations, I hope to continue learning every day the new issues, which teachers are sending us, and also throughout the year.",during time pandemic bit complicated remote education teaching activities every day much students teachers learned little use new means studying virtually asclassrom meet many expectations i hope continue learning every day new issues teachers sending us also throughout year ,during time pandemic bit complicated remote education teaching activities every day much students teachers learned little use new means studying virtually asclassrom meet many expectations i hope continue learning every day new issues teachers sending us also throughout year ,1
"O ano passado estudado também pelo ensino remoto, fez eu, particularmente, aprender a usar as ferramentas necessárias para o ensino da IFPB. Pensei que teria mais dificuldades em me adaptar com a quantidade de matérias e o modo como seria aplicado os assuntos, mas ao decorrer das aulas e das explicações vi que não tem muita dificuldade. Já estou acostumada com o modo e o método de ensino remoto, mas será melhor quando se encontrarmos pessoalmente.","Last year studied also by remote education, made me, in particular, learn how to use the tools required for IFPB teaching.I thought I would have more difficult to adapt with the amount of matters and how the subjects would be applied, but in the course of classes and explanations I saw that there is not much difficulty.I'm already accustomed to the mode and the remote teaching method, but it will be better when we meet personally.",last year studied also remote education made particular learn use tools required ifpb thought i would difficult adapt amount matters subjects would applied course classes explanations i saw much already accustomed mode remote teaching method better meet personally ,last year studied also remote education made particular learn use tools required ifpb thought i would difficult adapt amount matters subjects would applied course classes explanations i saw much already accustomed mode remote teaching method better meet personally ,-1
"Eu espero que no ensino remoto eu consiga me adaptar, assistindo todas as aulas, estudando diariamente e que não sofra um impacto tão grande nesse novo estilo de ensino, que eu consiga me sentir confortável em relação a todos os assuntos, pois daria meu máximo para que futuramente me torne um excelente profissional.","I hope that in remote education I can adapt, watching all classes, studying daily and that it does not suffer such a great impact on this new teaching style, which I can feel comfortable in relation to all matters, because it would give my fullThat in the future make me an excellent professional.",i hope remote education i adapt watching classes studying daily suffer great impact new teaching style i feel comfortable relation matters would give fullthat future make excellent professional ,i hope remote education i adapt watching classes studying daily suffer great impact new teaching style i feel comfortable relation matters would give fullthat future make excellent professional ,0
"O ensino remoto é muito difícil para as pessoas que não tem acesso a internet, como eu. É muito difícil entender os assuntos pela aula remota, fica muito complicado. Mais espero que consiga entender.","Remote teaching is very difficult for people who do not have access to the internet, like me.It is very difficult to understand the subjects by the remote class, it is very complicated.But I hope you can understand.",remote teaching difficult people access internet like difficult understand subjects remote class i hope understand ,remote teaching difficult people access internet like difficult understand subjects remote class i hope understand ,1
" Em primeiro plano o ensino remoto parece ser mais simples, prático e até melhor que o ensino comum, porém ao longo do tempo percebe-se que não substitui completamente a experiência do ensino presencial, principalmente das atividades práticas que ficam prejudicadas. Apesar disso a expectativa que tenho é de me adaptar rápido,ter aulas interessantes e atividades mais simples. Torço para votar em breve ao ensino tradicional.","In the foreground remote education seems to be simpler, practical and even better than common education, but over time it is noticed that it does not completely replace the experience of face-to-face education, especially the practical activities that are impaired.Despite this the expectation I have is to adapt quickly, have interesting lessons and simpler activities.I hope to vote soon to traditional teaching.",in foreground remote education seems simpler practical even better common education time noticed completely replace experience education especially practical activities expectation i adapt quickly interesting lessons simpler hope vote soon traditional teaching ,in foreground remote education seems simpler practical even better common education time noticed completely replace experience education especially practical activities expectation i adapt quickly interesting lessons simpler hope vote soon traditional teaching ,2
"   Possuo expectativas que eu consiga enviar as atividades pedidas de forma correta e que consiga aprender sobre o assunto, mas não possuo expectativas que eu consiga participar de algum projeto de extensão por hora. 
   Quanto a minha opinião sobre o EAD acho que é a nossa única escolha para voltar aos ensinos de forma segura e distante, então ele é importante. 
   Já quanto as atividades não presenciais sinto como algum importante para se fazer para auxiliar meu aprendizado mesmo em um momento tão problemático, então que eu devo fazer.","I have expectations that I can send the activities requested correctly and able to learn about it, but I do not have expectations that I can participate in some extension project per hour.
   As for my opinion about EAD I think it's our only choice to get back to the teachings in a safe and distant way, then it's important.
   As for non-face-to-face activities I feel like some important to do to assist my learning even in such a problematic moment, so that I should do.",i expectations i send activities requested correctly able learn i expectations i participate extension project per hour as opinion ead i think choice get back teachings safe distant way important as activities i feel like important assist learning even problematic moment i ,i expectations i send activities requested correctly able learn i expectations i participate extension project per hour as opinion ead i think choice get back teachings safe distant way important as activities i feel like important assist learning even problematic moment i ,0
"Antes mesmo da pandemia da Covid 19 acreditava que o ensino remoto é uma ferramenta de complementação de estudos para todos os níveis de aprendizagem, sendo um mecanismo de fortalecimento de conhecimentos do básico ao avançado. As atividades não presenciais estão sendo ministradas de uma maneira muita dinâmica, abrangendo discursões sobre os conteúdos repassados nas salas virtuais e com todo o apoio do corpo docente do instituto, contribuindo mesmo  que virtualmente para a construção de saberes. Além disso, é válido salientar que IPFB-Cajazeiras fornece diferentes setores para auxiliar os alunos em suas singularidades e necessidades, com isso as aulas tornam-se mais proveitosas.","Before Covid's pandemic 19 believed that remote education is a tool for complementing studies for all levels of learning, being a mechanism to strengthen knowledge of the basics to advanced.Non-face-to-face activities are being given a very dynamic way, covering discursions on the contents passed on in virtual rooms and with all the support of the faculty of the Institute, contributing even if virtually for the construction of knowledge.In addition, it is valid to point out that IPFB-Cajazeiras provides different sectors to assist students in their singularities and needs, with this classes become more fruitful.",before covid pandemic believed remote education tool complementing studies levels learning mechanism strengthen knowledge basics activities given dynamic way covering discursions contents passed virtual rooms support faculty institute contributing even virtually construction addition valid point provides different sectors assist students singularities needs classes become fruitful ,before covid pandemic believed remote education tool complementing studies levels learning mechanism strengthen knowledge basics activities given dynamic way covering discursions contents passed virtual rooms support faculty institute contributing even virtually construction addition valid point provides different sectors assist students singularities needs classes become fruitful ,1
"A ansiedade e expectativas são grandes em torno do Ensino Remoto, já que esse módulo é diferente da que estamos acostumado, mas esperamos aprender da mesma forma e com a mesma qualidade que o ensino presencial.","Anxiety and expectations are great around remote education, since this module is different from what we are accustomed to, but we hope to learn in the same way and with the same quality as face-to-face teaching.",anxiety expectations great around remote education since module different accustomed hope learn way quality teaching ,anxiety expectations great around remote education since module different accustomed hope learn way quality teaching ,0
"Bom, essas atividades não presenciais são extremamente importante para o nosso aprendizado, embora alguns alunos apresentem dificuldades, esse tipo de ensino é muito importante para quê a gente não fique ""atrasado"".","Well, these non-face-to-face activities are extremely important for our learning, although some students have difficulties, this type of teaching is very important for what we do not get ""late.""",well activities extremely important learning although students difficulties type teaching important get late ,well activities extremely important learning although students difficulties type teaching important get late ,-1
"Acredito que esse ano será cheio de oportunidades como o ano passado, pretendo estudar bastante e alcançar minhas metas. Espero que essa pandemia chegue ao fim, para tudo voltar o normal. ","I believe that this year will be full of opportunities like last year, I intend to study a lot and achieve my goals.I hope this pandemic gets to the end, for everything to return to normal.",i believe year full opportunities like last year i intend study lot achieve hope pandemic gets end everything return normal ,i believe year full opportunities like last year i intend study lot achieve hope pandemic gets end everything return normal ,2
"     Bom, espero que esse ano seja um ano de muito proveito, ou seja, um ano de muito aprendizado, que eu e todos meus colegas de classe possamos  alcançar todos os nossos objetivos, espero também que posso fazer várias amizades nesse mundo escolar, mesmo sendo difícil nesse campo virtual. Meu maior desejo é que passe essa pandemia e volte as aulas presenciais, pois além do aprendizado ser muito maior do que o virtual, muitas pessoas não gostam, e tem umas que chegam até ter dificuldade, seja ela por falta de internet ou falta de aparelho. ","Well, I hope this year is a year of much profit, that is, a very learning year, that I and all my classmates can achieve all our goals, I also hope that I can make several friendships in this school world, even thoughdifficult in this virtual field.My greatest wish is that passing this pandemic and returns to face-to-face classes, because in addition to learning to be much larger than the virtual, many people do not like, and there are some who even have difficulty, be it for lack of internet or lack of device.",well i hope year year much profit learning year i classmates achieve goals i also hope i make several friendships school world even thoughdifficult virtual greatest wish passing pandemic returns classes addition learning much larger virtual many people like even difficulty lack internet lack device ,well i hope year year much profit learning year i classmates achieve goals i also hope i make several friendships school world even thoughdifficult virtual greatest wish passing pandemic returns classes addition learning much larger virtual many people like even difficulty lack internet lack device ,1
"essa forma remota, talvez seja um  pouco mais complicado do que  no modelo  presencial,  principalmente,  pelo o  pouco tempo  para  estudar os assuntos que  são abordados.","This remote form, perhaps is a bit more complicated than in the face-to-face model, especially for the short time to study the subjects that are addressed.",this remote form perhaps bit complicated model especially short time study subjects addressed ,this remote form perhaps bit complicated model especially short time study subjects addressed ,-1
"Até o momento as aulas remotas estão sendo agradáveis e de fácil entendimento, estou conseguindo entender aquilo que é passado e completar as atividades que estão sendo passadas.","So far remote lessons are being nice and easy understanding, I can understand what is passed and complete the activities that are being passed.",so far remote lessons nice easy understanding i understand passed complete activities passed ,so far remote lessons nice easy understanding i understand passed complete activities passed ,1
"Espero ter sucesso nas minha expectativas em relação aos estudos, que as atividades sejam dentro de um tempo confortável para os alunos e professores e, por mais que hajam dificuldades, que elas não afetem o ensino remoto para quem tem disponibilidade de usá-lo.","I hope to succeed in my expectations regarding studies, which activities are within a comfortable time for students and teachers and, however much difficulties, they do not affect remote education for those who have the availability to use it.",i hope succeed expectations regarding studies activities within comfortable time students teachers however much difficulties affect remote education availability use ,i hope succeed expectations regarding studies activities within comfortable time students teachers however much difficulties affect remote education availability use ,2
"Bem, a modalidade de ensino remota está ajudando muito, já que nesses tempos de pandêmia estamos impossibilitados de assistir as aulas presenciais, porém, não se compara ao ensino presencial em vários fatores, como: tempo das aulas, quantidade de aulas, entre outros... Aumentando assim o número de dúvidas do aluno em relação à determinada matéria.","Well, the modality of remote education is helping a lot, since in these times of pandemia we are unable to attend the classroom classes, however, it does not compare to face-to-face teaching in several factors, such as: time of classes, number of classes, among others... thus increasing the number of student doubts in relation to the given matter.",well modality remote education helping lot since times pandemia unable attend classroom classes however compare teaching several factors time classes number classes among others thus increasing number student doubts relation given matter ,well modality remote education helping lot since times pandemia unable attend classroom classes however compare teaching several factors time classes number classes among others thus increasing number student doubts relation given matter ,-1
"Não é tão complicado assim,mais está sendo um pouco difícil pois só tenho o celular pra acessar as aulas,e fica bem pesado,mais estou me adaptando ainda.","It's not so complicated, but it's being a bit difficult because I only have the cell phone to access the classes, and it gets very heavy, but I'm still adapting.",it complicated bit difficult i cell phone access classes gets heavy i still adapting ,it complicated bit difficult i cell phone access classes gets heavy i still adapting ,-1
"Bom em questão as ensino remoto está sendo um coisa nova para min, por ser um coisa nova espero se adaptar a esse estilo de ensino, mas minha expectativa espero que seja uma das mais positiva possível.","Well in question remote teaching is being a new thing for min, for being a new thing I hope to adapt to this style of teaching, but my expectation I hope it is one of the most positive possible.",well question remote teaching new thing min new thing i hope adapt style teaching expectation i hope one positive possible ,well question remote teaching new thing min new thing i hope adapt style teaching expectation i hope one positive possible ,2
"     O ensino remoto está  ajudando muito durante esse período de pandemia, mas nada se compara as aulas presenciais, mas as aulas onlines estão muito bem explicadas, e sobre as aulas não presenciais é que o ambiente familiar é totalmente diferente do ambiente escolar.
    Onde tem todo um suporte pro aluno, além disso conversar sobre a matéria com os outros alunos também contribui para um melhor desenvolvimento e aprendizado do estudante.","Remote education is helping a lot during this period of pandemic, but nothing compares to face-to-face classes, but online classes are very well explained, and on non-face-to-face classes is that the family environment is totally different from the school environment.
    Where there is a whole support for the student, in addition to talking about the subject with the other students also contributes to a better development and learning of the student.",remote education helping lot period pandemic nothing compares classes online classes well explained classes family environment totally different school environment where whole support student addition talking subject students also contributes better development learning student ,remote education helping lot period pandemic nothing compares classes online classes well explained classes family environment totally different school environment where whole support student addition talking subject students also contributes better development learning student ,1
"Eu tenho boas expectativas para o ensino remoto, mas o lado ruim é que, quando assistimos aulas remotas, é bem mais fácil se distrair. E em relação às atividades, eu acho que será fácil fazê-las.","I have good expectations for remote education, but the bad side is that when we watch remote lessons, it is much easier to distract.And in relation to activities, I think it will be easy to do them.",i good expectations remote education bad side watch remote lessons much easier relation activities i think easy ,i good expectations remote education bad side watch remote lessons much easier relation activities i think easy ,0
"Indefinidas, tenho dificuldades na área da informática, minha familia não me ajuda, mas tento conseguir superar as dificuldades. A respeito das atividades, são boas em ajudar a conhecer o conteúdo com elas; sobre a modalidade de ensino acho pensante na questão de não seres presencias. Espero conseguir superar as problemáticas e conseguir me reerguer e me adaptar.","Indefinite, I have difficulties in the area of computer science, my family does not help me, but I try to overcome the difficulties.With regard to activities, they are good at helping to know the content with them;About the teaching mode I think thinking about the issue of not presence beings.I hope to get over the troubles and get me rewrite and adapt.",indefinite i difficulties area computer science family help i try overcome regard activities good helping know content about teaching mode i think thinking issue presence hope get troubles get rewrite adapt ,indefinite i difficulties area computer science family help i try overcome regard activities good helping know content about teaching mode i think thinking issue presence hope get troubles get rewrite adapt ,1
"Olá. Devido a situação atual que estamos presenciando, as aulas remotas foi uma solução para que a educação estudantil não ficasse escassa. Porém, isso é muito novo e difícil de lidar com a situação de está em uma sala virtual sem ter contato com os colegas e professores. Com tal modalidade isso pode gerar uma certa comodidade. 
","Hello. Due to the current situation we are witnessing, remote lessons was a solution so that student education would not be scarce.However, this is very new and difficult to deal with the situation in a virtual room without contacting colleagues and teachers.With such a modality this can generate a certain convenience.",hello due current situation witnessing remote lessons solution student education would new difficult deal situation virtual room without contacting colleagues modality generate certain convenience ,hello due current situation witnessing remote lessons solution student education would new difficult deal situation virtual room without contacting colleagues modality generate certain convenience ,-1
"Eu acho que mesmo com toda a dificuldade que possa aparecer durante o ensino remoto, vai dar para aproveitar bastante com os esforços dos alunos, professores e de toda a equipe da instituição. Eu tenho boas expectativas de que teremos um período de aprendizagem proveitoso.","I think even with all the difficulty that can appear during remote education, will give to enjoy a lot with the students' efforts, teachers and all the institution's team.I have good expectations that we will have a profitable learning period.",i think even difficulty appear remote education give enjoy lot students efforts teachers institution good expectations profitable learning period ,i think even difficulty appear remote education give enjoy lot students efforts teachers institution good expectations profitable learning period ,1
"No momento de pandemia, o ensino remoto não é completo como o ensino presencial, mas está sendo muito importante para a continuação do curso.","At the time of pandemic, remote teaching is not complete as face-to-face education, but is being very important for the continuation of the course.",at time pandemic remote teaching complete education important continuation course ,at time pandemic remote teaching complete education important continuation course ,0
"O ensino remoto hoje está sendo um desafio com as dificuldade que existe entre elas está o acesso a internet  , quipamento eletrônico  e falta da presença dos professores que é o mais importante para no ausiliar com as dúvidas que surge devido as dificuldades no ensino.","Remote teaching today is being a challenge with the difficulty that exists between them is access to the Internet, electronic downtime and lack of the presence of teachers who are the most important for in the absuria with doubts that the difficulties in teaching arises.",remote teaching today challenge difficulty exists access internet electronic downtime lack presence teachers important absuria doubts difficulties teaching arises ,remote teaching today challenge difficulty exists access internet electronic downtime lack presence teachers important absuria doubts difficulties teaching arises ,-1
"Minha expectativa quanto ao ensino remoto é que tenhamos um bom desempenho e consigamos sancionar todas nossas duvidas e tudo mais. Sempre contando com a ajuda dos professores e coordenadores e eles entendam que estamos passando por um momento difícil de aulas remotas o que dificulta o aprendizado.
E também muitas vezes diante de tantas mortes, afeta o nosso psicológico ate na hora de estudar.","My expectation regarding remote education is that we have a good performance and we can sanction all our doubts and everything.Always counting on the help of teachers and coordinators and they understand that we are going through a difficult time remote lessons which makes learning difficult.
And also often in the face of so many deaths, affects our psychological until at the time of studying.",my expectation regarding remote education good performance sanction doubts counting help teachers coordinators understand going difficult time remote lessons makes learning difficult and also often face many deaths affects psychological time studying ,my expectation regarding remote education good performance sanction doubts counting help teachers coordinators understand going difficult time remote lessons makes learning difficult and also often face many deaths affects psychological time studying ,-1
Eu acho que as aulas presencial tem como tirar dúvidas de forma mais fácil facilitando a aprendizagem.,I think the classroom classes can ask questions easier to make learning easier.,i think classroom classes ask questions easier make learning easier ,i think classroom classes ask questions easier make learning easier ,0
"Vejo o ensino remoto como alternativa para a situação que estamos vivendo, embora o ensino presencial seja mais eficaz é necessário aderir ao ensino remoto e aproveita-lo da melhor maneira possível.","I see remote education as an alternative to the situation we are living, although face-to-face teaching is more effective to adhere to remote education and take advantage of it in the best possible way.",i see remote education alternative situation living although teaching effective adhere remote education take advantage best possible way ,i see remote education alternative situation living although teaching effective adhere remote education take advantage best possible way ,1
"Confesso que fiquei bem apreensiva ensino remoto, que aliás, ainda estou. Eu, além de não ter muita aptidão em internet, já fazem 25 que estudei, então já é mais uma grande dificuldade.
Se fossem aulas presenciais, seria muito melhor, pois estaríamos tendo e preocupada quanto ao 
o suporte necessário para um aprendizado com mais qualidade.
Então, espero que os nossos professores tenham uma enorme paciência para conosco nessa fase tão difícil, e claro, cabem a nós alunos fazermos a nossa parte.
","I confess that I was well apprehensive remote teaching, which, in fact, I am still.I, besides not having much aptitude on the internet, already do 25 that I studied, so it is more great difficulty.
If they were face-to-face, it would be much better because we would be and worried about the
The support needed for more quality learning.
So I hope our teachers have a huge patience for us at this difficult phase, and of course, they fit our students to do our part.",i confess i well apprehensive remote teaching fact i besides much aptitude internet already i studied great difficulty if would much better would worried the support needed quality learning so i hope teachers huge patience us difficult phase course fit students part ,i confess i well apprehensive remote teaching fact i besides much aptitude internet already i studied great difficulty if would much better would worried the support needed quality learning so i hope teachers huge patience us difficult phase course fit students part ,0
"O ensino médio remoto é um ótimo meio para trocar informações e conteúdos para aprendizagem não existindo contato física, mas não supera das aulas presenciais, pelo fato das aulas práticas, é mais fácil de absorve conhecimento.","Remote High School is a great way to exchange information and content for learning by not existing physical contact, but it does not surpass face-to-face lessons, because practical classes, is easier to absorb knowledge.",remote high school great way exchange information content learning existing physical contact surpass lessons practical classes easier absorb knowledge ,remote high school great way exchange information content learning existing physical contact surpass lessons practical classes easier absorb knowledge ,2
"Espero que as aulas continuem ótimas como estão e que os professores transmitam todos os ensinamentos necessários. No mais, estou gostando da forma como está sendo trabalhado os conteúdos e que continuem assim!","I hope classes continue to be great as they are and that teachers convey all the necessary teachings.No more, I'm liking the way the contents are being worked and continue like this!",i hope classes continue great teachers convey necessary i liking way contents worked continue like ,i hope classes continue great teachers convey necessary i liking way contents worked continue like ,2
"Procuro manter minhas expectativas altas sobre o ensino a distância, mesmo com algumas dificuldades para ""pegar"" o assunto das aulas, eu reconheço que as aulas presenciais ainda não são uma opção no momento. Claro que as aulas presenciais são em muitos quesitos superiores ao EAD, por exemplo o ambiente de sala de aula e o entrosamento com colegas e professores ajudam muito em relação a educação. Em relação a atividades, tenho certas dificuldades mas procuro assistir vídeos aulas para complementar as explicações dos professores.","I try to keep my high expectations about distance learning, even with some difficulties to ""get"" the subject of classes, I recognize that face-to-face classes are still not an option at the moment.Of course face-to-face classes are in many exceedings to EAD, for example the classroom environment and the entry with colleagues and teachers help a lot in relation to education.In relation to activities, I have certain difficulties but I try to watch videos lessons to complement the explanations of the teachers.",i try keep high expectations distance learning even difficulties get subject classes i recognize classes still option course classes many exceedings ead example classroom environment entry colleagues teachers help lot relation relation activities i certain difficulties i try watch videos lessons complement explanations teachers ,i try keep high expectations distance learning even difficulties get subject classes i recognize classes still option course classes many exceedings ead example classroom environment entry colleagues teachers help lot relation relation activities i certain difficulties i try watch videos lessons complement explanations teachers ,-1
"eu tenho muitas expetativas,  estou bastante ansiosa ....
mais vai dar tudo certo","I have many expectations, I'm pretty anxious ....
but it will be all right",i many expectations i pretty anxious right ,i many expectations i pretty anxious right ,0
Bom como vai ser a minha primeira experiência em aula remota espero que seja boa e que eu tenha um bom desempenho nas disciplinas. Por tanto espero que volte as aulas presenciais mais rápido possível.,Good as it will be my first experience in remote class I hope it is good and that I have a good performance in the disciplines.Therefore I hope to return to face-to-face classes as fast as possible.,good first experience remote class i hope good i good performance i hope return classes fast possible ,good first experience remote class i hope good i good performance i hope return classes fast possible ,2
"Espero conseguir aprender bem, não sei se aprenderei com facilidade, porém, vou me esforçar para não ficar com matéria defasada.","I hope to learn well, I do not know if I will learn easily, but I will struggle not to have a short story.",i hope learn well i know i learn easily i struggle short story ,i hope learn well i know i learn easily i struggle short story ,1
To ancioso,To anchor,to anchor ,to anchor ,0
"Em relação ao ensino remoto eu posso dizer que já estou totalmente adaptada. Conclui recentemente o curso de Letras Ead pelo IFPB Campus Sousa, portanto , para mim a modalidade de ensino remoto não é novidade. É uma modalidade que exige muito do aluno, digo por experiência própria, apesar de ser um ensino a distância, o aluno precisa se programar para assistir as aulas e o mais importante o aluno precisa ter disciplina.","In relation to remote education I can say that I am already fully adapted.Recently concluded the course of Letters EAD by IFPB Campus Sousa, so for me the modality of remote teaching is not new.It is a mode that requires a lot of the student, I say from experience, despite being a distance learning, the student needs to schedule to watch classes and the most important student needs to have discipline.",in relation remote education i say i already fully concluded course letters ead ifpb campus sousa modality remote teaching mode requires lot student i say experience despite distance learning student needs schedule watch classes important student needs discipline ,in relation remote education i say i already fully concluded course letters ead ifpb campus sousa modality remote teaching mode requires lot student i say experience despite distance learning student needs schedule watch classes important student needs discipline ,0
